Species	Dem	Slope	TPI	TRI	Cheigh	NeaDistRiv	DistRoad	DistVillage	Season	Effort	Habitat	Visibility	Dist_Nath	X	Y
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	PSS	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	PSS	52	Savannah	Open	923	12,106644	4,977375
Cephalophus dorsalis	592	90	-2	17	4	437	23082	11308	PSS	52	Savannah	Open	923	12,106644	4,977375
Orycteropus afer	592	90	-2	17	4	437	23082	11308	PSS	52	Savannah	Open	923	12,106644	4,977375
Cephalophus rufilatus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Thryonomys swinderianus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Thryonomys swinderianus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Orycteropus afer	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Cephalophus rufilatus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Orycteropus afer	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Thryonomys swinderianus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Cephalophus rufilatus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Cephalophus rufilatus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Cephalophus rufilatus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Cephalophus rufilatus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Funisciurus pyrropus	592	90	-2	17	4	437	23082	11308	GSP	52	Savannah	Open	923	12,106644	4,977375
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Potamochoerus porcus	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Cephalophus dorsalis	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Civettictis civetta	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Civettictis civetta	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Pan troglodytes	596	89	-6	23	14	340	9496	14308	GSP	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Genetta servalina	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Cephalophus silvicultor	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Cephalophus silvicultor	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Potamochoerus porcus	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Herpestes naso	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Cephalophus dorsalis	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Atherurus africanus	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Cercopithecus neglectus	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Bdeogale nigripes	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Tragelaphus spekii	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
Philantomba monticola	596	89	-6	23	14	340	9496	14308	GSS	346	Forest	Open	620	12,141678	4,978849
